MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold
70,60,7200,7,7,1920,1950,0,0,596,596,998,764,0,1762,1,0,1,1,4,1,8,0,1989,2,576,36,0,221,0,0,0,0,10,2006
30,70.049958368,25339,5,7,1918,2007,0,0,816,816,1416,0,0,1416,0,0,2,0,3,1,7,0,2007,2,576,0,0,112,0,0,0,0,8,2007
50,60,9060,6,5,1939,1950,0,0,356,560,698,560,0,1258,0,0,1,0,2,1,6,0,1939,1,280,0,0,0,0,0,0,0,10,2009
50,40,5436,4,8,1922,2007,0,0,61,796,796,358,0,1154,1,0,1,0,3,1,7,0,1922,1,240,0,96,0,0,0,0,0,5,2010
60,80,16692,7,5,1978,1978,184,469,133,1392,1392,1392,0,2784,1,0,3,1,5,1,12,2,1978,2,564,0,112,0,0,440,519,2000,7,2006
50,60,8520,6,7,1916,1950,0,546,0,714,1664,862,0,2526,0,0,2,0,5,1,10,1,1916,1,216,88,15,0,0,0,0,0,8,2007
20,42,14892,9,5,2006,2007,160,0,426,1746,1746,0,0,1746,1,0,2,0,3,1,7,2,2006,3,758,201,39,0,0,0,0,0,10,2009
50,60,6000,6,6,1941,1950,0,0,360,735,869,349,0,1218,0,1,1,0,3,1,6,1,2003,2,440,0,0,0,0,0,0,0,3,2007
20,70,9100,7,5,2000,2000,244,0,125,1525,1525,0,0,1525,1,0,2,0,3,1,6,0,2000,2,541,219,36,0,0,0,0,0,9,2006
90,65,8944,5,5,1967,1967,0,0,1584,1584,1584,0,0,1584,0,0,2,0,4,2,8,0,1967,3,792,0,152,0,0,0,0,0,4,2009
85,68,7838,5,5,1967,1967,0,0,95,864,900,0,0,900,1,0,1,0,3,1,6,1,1967,1,288,175,144,0,0,0,0,0,12,2006
190,60,10800,6,7,1905,2000,0,0,482,482,1221,691,0,1912,0,0,2,0,3,2,7,1,2003,2,672,0,25,212,0,0,0,0,4,2008
120,53,4045,7,5,2006,2006,45,0,286,1356,1500,0,0,1500,1,0,2,0,2,1,6,1,2006,3,648,161,20,0,0,0,0,0,10,2006
60,88,12665,8,5,2005,2006,245,0,1094,1094,1133,1349,0,2482,0,0,2,1,4,1,9,1,2005,3,642,144,39,0,0,0,0,0,2,2007
20,70.049958368,57200,5,5,1948,1950,0,334,60,747,1687,0,0,1687,1,0,1,0,3,1,7,2,1966,2,572,0,0,50,0,0,0,0,6,2010
70,51,6120,5,8,1920,2004,0,0,939,939,939,574,0,1513,0,0,1,1,4,1,8,0,1933,1,180,24,0,150,0,0,0,0,5,2007
50,60,7200,5,4,1950,1982,0,352,676,1208,1136,768,0,1904,1,0,1,1,3,1,7,0,1950,1,240,0,0,168,0,0,0,0,5,2009
50,51,6171,6,6,1925,1990,0,0,712,976,1160,448,0,1608,0,0,2,1,3,1,7,1,1925,1,216,147,16,0,0,0,0,0,10,2009
50,50,6000,6,7,1929,1950,0,0,862,862,950,208,0,1158,0,0,1,0,3,1,5,1,1929,1,208,0,0,112,0,0,0,0,7,2008
60,62,7415,6,5,2004,2004,0,0,80,839,864,729,0,1593,1,0,2,1,3,1,8,1,2004,2,398,100,75,0,0,0,0,0,4,2008
20,64,6762,7,5,2006,2006,0,0,1286,1286,1294,0,0,1294,0,0,2,0,2,1,6,1,2006,2,662,168,55,0,0,0,0,0,7,2006
20,49,15256,8,5,2007,2007,84,0,556,1485,1464,0,0,1464,1,0,2,0,3,1,6,0,2007,3,754,168,160,0,0,0,0,0,8,2007
50,60,10410,3,4,1915,1950,0,0,672,672,694,520,0,1214,0,0,1,0,3,1,6,0,1998,3,936,216,0,160,0,0,0,0,1,2006
120,44,3842,8,5,2004,2005,174,0,221,1594,1646,0,0,1646,1,1,2,0,2,1,5,1,2004,2,482,128,53,0,0,155,0,0,1,2008
85,70,8445,5,7,1972,2007,0,0,112,768,768,0,0,768,1,0,1,0,2,1,5,0,1988,2,396,58,0,0,0,0,0,0,3,2009
20,70.049958368,8780,5,5,1985,1985,0,0,208,833,833,0,0,833,1,0,1,0,3,1,5,0,1978.5061638869,0,0,0,0,0,0,0,0,0,3,2009
70,60,7740,4,7,1910,1950,0,0,622,622,741,622,0,1363,0,0,1,0,3,1,6,0,1966,2,528,0,0,0,0,168,0,0,6,2010
60,46,20544,7,6,1986,1991,123,0,791,791,1236,857,0,2093,0,0,2,1,3,1,7,1,1986,2,542,364,63,0,0,0,0,0,11,2008
60,79,12420,7,5,2001,2001,0,0,278,944,944,896,0,1840,1,0,2,1,3,1,6,0,2001,2,622,0,45,0,0,0,0,0,6,2009
50,80,9600,6,8,1950,2005,0,0,736,856,1112,556,0,1668,0,0,1,1,3,1,6,0,1950,1,271,0,0,0,0,0,0,0,9,2009
90,60,7200,4,5,1949,1950,0,0,0,0,1040,0,0,1040,0,0,2,0,2,2,6,0,1956,2,420,0,0,0,0,0,0,0,6,2009
20,88,10994,8,5,2005,2006,366,0,868,1844,1844,0,0,1844,1,0,2,0,2,1,7,1,2005,2,620,165,44,0,0,0,0,0,9,2009
50,64,13053,6,7,1923,2000,0,0,833,833,1053,795,0,1848,0,0,1,1,4,1,8,1,1922,2,370,0,0,0,0,220,0,0,6,2008
120,51,3635,7,5,2007,2007,130,0,398,1386,1569,0,0,1569,0,1,2,0,1,1,7,1,2007,3,660,143,20,0,0,0,0,0,5,2009
190,60,11340,4,6,1885,1950,0,0,777,777,1246,1044,0,2290,0,0,2,0,4,2,11,0,1971,2,560,0,0,114,0,0,0,0,4,2010
60,70.049958368,16545,8,5,1998,1998,731,0,503,1284,1310,1140,0,2450,1,0,2,1,3,1,7,1,1998,3,1069,0,126,0,0,0,0,0,5,2009
20,71,9204,5,5,1963,1963,0,872,247,1144,1144,0,0,1144,1,0,1,1,3,1,6,0,1962,1,336,0,88,0,0,0,0,0,8,2008
20,70.049958368,16381,6,5,1969,1969,312,0,734,1844,1844,0,0,1844,1,0,2,0,3,1,7,1,1969,2,540,0,73,216,0,0,0,0,12,2006
60,90,11700,6,6,1968,1968,420,0,304,708,708,708,0,1416,0,0,2,1,3,1,7,1,1968,2,776,0,169,0,0,119,0,0,5,2006
120,53,4043,6,5,1977,1977,0,0,709,1069,1069,0,0,1069,0,0,2,0,2,1,4,1,1977,2,440,0,55,0,0,165,0,0,7,2010
120,37,4435,6,5,2003,2003,170,0,162,848,848,0,0,848,1,0,1,0,1,1,3,0,2003,2,420,140,0,0,0,0,0,0,3,2008
80,70.049958368,19690,6,7,1966,1966,0,0,697,697,1575,626,0,2201,0,0,2,0,4,1,8,1,1966,2,432,586,236,0,0,0,738,0,8,2006
20,70.049958368,9503,5,5,1958,1983,0,374,193,1024,1344,0,0,1344,1,0,1,0,2,1,6,1,1970,1,484,316,28,0,0,0,0,0,6,2007
20,80,10721,6,6,1959,1959,243,0,1252,1252,1252,0,0,1252,0,0,1,0,3,1,7,0,1960,2,528,0,39,0,0,0,0,0,10,2008
60,81,10944,7,5,1994,1994,448,0,223,1223,1223,904,0,2127,1,0,2,1,3,1,5,2,1994,2,525,171,132,0,0,0,0,0,8,2008
50,60,10930,5,6,1945,1950,0,0,333,913,1048,510,0,1558,1,0,1,1,3,1,6,1,1962,1,288,0,0,0,0,0,0,0,4,2008
30,60,7200,5,7,1940,1992,294,0,278,788,804,0,0,804,1,0,1,0,2,1,4,2,1940,1,240,0,0,154,0,0,0,0,2,2010
20,70.049958368,12546,6,7,1981,1981,310,0,762,1440,1440,0,0,1440,0,0,2,0,3,1,7,1,1981,2,467,0,0,99,0,0,0,0,4,2007
60,60,21930,5,5,2005,2005,0,0,732,732,734,1104,0,1838,0,0,2,1,4,1,7,1,2005,2,372,100,40,0,0,0,0,0,7,2006
120,70.049958368,4928,6,6,1976,1976,0,0,0,958,958,0,0,958,0,0,2,0,2,1,5,0,1976,2,440,0,60,0,0,0,0,0,10,2009
30,60,10800,4,6,1927,2007,0,0,656,656,968,0,0,968,0,0,2,0,4,1,5,0,1928,1,216,0,0,0,0,0,0,0,8,2007
60,93,10261,6,5,2000,2000,318,0,936,936,962,830,0,1792,1,0,2,1,3,1,8,1,2000,2,451,0,0,0,0,0,0,0,5,2008
20,80,17400,5,5,1977,1977,0,0,190,1126,1126,0,0,1126,1,0,2,0,3,1,5,1,1977,2,484,295,41,0,0,0,0,0,5,2006
20,80,8400,6,9,1962,2005,237,0,1319,1319,1537,0,0,1537,1,0,1,1,3,1,7,1,1962,2,462,0,36,0,0,0,0,0,7,2008
20,60,9000,4,6,1971,1971,0,0,248,864,864,0,0,864,0,0,1,0,3,1,5,0,1974,2,528,0,0,0,0,0,0,0,5,2007
20,96,12444,8,5,2008,2008,426,0,596,1932,1932,0,0,1932,1,0,2,0,2,1,7,1,2008,3,774,0,66,0,304,0,0,0,11,2008
20,90,7407,6,7,1957,1996,0,0,312,912,1236,0,0,1236,1,0,1,0,2,1,6,0,1957,2,923,0,158,158,0,0,0,0,4,2010
60,80,11584,7,6,1979,1979,96,110,114,539,1040,685,0,1725,0,0,2,1,3,1,6,1,1979,2,550,0,88,216,0,0,0,0,11,2007
70,79,11526,6,7,1922,1994,0,0,588,588,1423,748,384,2555,0,0,2,0,3,1,11,1,1993,2,672,431,0,0,0,0,0,0,9,2008
120,70.049958368,4426,6,5,2004,2004,147,0,151,848,848,0,0,848,1,0,1,0,1,1,3,1,2004,2,420,149,0,0,0,0,0,0,5,2008
60,85,11003,10,5,2008,2008,160,0,252,1017,1026,981,0,2007,1,0,2,1,3,1,10,1,2008,3,812,168,52,0,0,0,0,0,4,2009
30,70.049958368,8854,6,6,1916,1950,0,0,952,952,952,0,0,952,0,0,1,0,2,1,4,1,1916,1,192,0,98,0,0,40,0,0,5,2009
20,63,8500,7,5,2004,2004,106,0,1422,1422,1422,0,0,1422,0,0,2,0,3,1,7,0,2004,2,626,192,60,0,0,0,0,0,11,2007
85,70,8400,6,5,1966,1966,0,627,0,814,913,0,0,913,1,0,1,0,3,1,6,0,1990,1,240,0,0,252,0,0,0,0,5,2007
20,70.049958368,26142,5,7,1962,1962,189,0,595,1188,1188,0,0,1188,0,0,1,0,3,1,6,0,1962,1,312,261,39,0,0,0,0,0,4,2010
60,80,10000,8,5,1995,1996,438,0,141,1220,1220,870,0,2090,1,0,2,1,3,1,8,1,1995,2,556,0,65,0,0,0,0,0,12,2007
50,70,11767,4,7,1910,2000,0,0,560,560,796,550,0,1346,0,0,1,1,2,1,6,0,1950,1,384,168,24,0,0,0,0,0,5,2007
180,21,1533,5,7,1970,1970,0,0,77,630,630,0,0,630,1,0,1,0,1,1,3,0,1978.5061638869,0,0,0,0,0,0,0,0,0,8,2006
90,60,9000,5,5,1974,1974,0,0,896,896,896,896,0,1792,0,0,2,2,4,2,8,0,1978.5061638869,0,0,32,45,0,0,0,0,0,9,2009
20,78,9262,8,5,2008,2009,194,0,1573,1573,1578,0,0,1578,0,0,2,0,3,1,7,1,2008,3,840,0,36,0,0,0,0,0,5,2009
180,35,3675,5,5,2005,2005,80,0,0,547,1072,0,0,1072,1,0,1,0,2,1,5,0,2005,2,525,0,28,0,0,0,0,0,5,2006
20,90,17217,5,5,2006,2006,0,0,1140,1140,1140,0,0,1140,0,0,1,0,3,1,6,0,1978.5061638869,0,0,36,56,0,0,0,0,0,7,2006
20,62,7500,7,5,2004,2005,0,0,811,1221,1221,0,0,1221,1,0,2,0,2,1,6,0,2004,2,400,0,113,0,0,0,0,0,10,2009
60,62,7917,6,5,1999,2000,0,0,953,953,953,694,0,1647,0,0,2,1,3,1,7,1,1999,2,460,0,40,0,0,0,0,0,8,2007
20,85,13175,6,6,1978,1988,119,163,589,1542,2073,0,0,2073,1,0,2,0,3,1,7,2,1978,2,500,349,0,0,0,0,0,0,2,2010
70,66,9042,7,9,1941,2006,0,0,877,1152,1188,1152,0,2340,0,0,2,0,4,1,9,2,1941,1,252,0,60,0,0,0,0,2500,5,2010
20,68,9717,5,6,1950,1996,0,1029,0,1078,1078,0,0,1078,1,0,1,0,2,1,5,0,1950,1,240,366,0,112,0,0,0,0,4,2010
20,75,9937,5,6,1965,1965,0,290,136,1256,1256,0,0,1256,1,0,1,1,3,1,6,0,1965,1,276,736,68,0,0,0,0,0,6,2008
